id;data_wbs_spesifik;data_wbs_level2
1;Flyover;Drainase
2;Flyover;Pelebaran Perkerasan dan Bahu Jalan
3;Flyover;Pengembalian Kondisi Pek. Minor
4;Flyover;Perkerasan Aspal
5;Flyover;Perkerasan Berbutir dan Perkerasan Beton Semen
6;Flyover;Persiapan
7;Flyover;Struktur
8;Flyover;Tanah
9;Flyover;Manajemen
10;Jalan;Drainase
11;Jalan;Fasilitas Pelayanan Tol
12;Jalan;Pelebaran Perkerasan dan Bahu Jalan
13;Jalan;Pengembalian Kondisi Pek. Minor
14;Jalan;Perkerasan Aspal
15;Jalan;Perkerasan Berbutir dan Perkerasan Beton Semen
16;Jalan;Persiapan
17;Jalan;Tanah
18;Jalan;Manajemen
19;Jembatan Baja;Drainase
20;Jembatan Baja;Fasilitas Pelayanan Tol
21;Jembatan Baja;Pelebaran Perkerasan dan Bahu Jalan
22;Jembatan Baja;Pengembalian Kondisi Pek. Minor
23;Jembatan Baja;Perkerasan Aspal
24;Jembatan Baja;Perkerasan Berbutir dan Perkerasan Beton Semen
25;Jembatan Baja;Persiapan
26;Jembatan Baja;Struktur
27;Jembatan Baja;Tanah
28;Jembatan Baja;Manajemen
29;Jembatan Beton Precast;Drainase
30;Jembatan Beton Precast;Fasilitas Pelayanan Tol
31;Jembatan Beton Precast;Pelebaran Perkerasan dan Bahu Jalan
32;Jembatan Beton Precast;Pengembalian Kondisi Pek. Minor
33;Jembatan Beton Precast;Perkerasan Aspal
34;Jembatan Beton Precast;Perkerasan Berbutir dan Perkerasan Beton Semen
35;Jembatan Beton Precast;Persiapan
36;Jembatan Beton Precast;Struktur
37;Jembatan Beton Precast;Tanah
38;Jembatan Beton Precast;Manajemen
